model,split,dice,iou,time_ms
unet,testA,0.9102 +/- 0.0729,0.8424 +/- 0.1106,17.66
unet,testB,0.8957 +/- 0.0884,0.8214 +/- 0.1355,13.27
unet40,testA,0.8714 +/- 0.1039,0.7851 +/- 0.1439,13.25
unet40,testB,0.8823 +/- 0.0837,0.7986 +/- 0.1295,13.32
unetpp,testA,0.9152 +/- 0.0628,0.8493 +/- 0.0987,38.23
unetpp,testB,0.9005 +/- 0.0854,0.8288 +/- 0.1328,38.05
sam,testA,0.9248 +/- 0.0706,0.8669 +/- 0.1058,317.80
sam,testB,0.9139 +/- 0.0689,0.8482 +/- 0.1115,320.01
medsam,testA,0.9146 +/- 0.0837,0.8522 +/- 0.1269,86.03
medsam,testB,0.9066 +/- 0.0719,0.8364 +/- 0.1162,86.47
fixmatch,testA,0.8690 +/- 0.1098,0.7829 +/- 0.1529,13.29
fixmatch,testB,0.8678 +/- 0.1027,0.7796 +/- 0.1519,13.35
